Age,Income,MonthsEmployed,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,CreditScore
56,156584,120,0.43907463788288065,Undergraduate,Self-Employed,Single,0,0,Other-Miscellaneous,0,618
69,287284,120,0.6197485662167712,Postgraduate,Self-Employed,Divorced/Widowed,0,0,Debt Consolidation,0,810
46,27602,120,0.3874619564845018,Primary,Salaried,Single,0,1,Debt Consolidation,0,543
32,180935,120,0.19408807927402602,Undergraduate,Self-Employed,Single,1,1,Other-Miscellaneous,0,659
60,223913,120,0.5478454984850178,Undergraduate,Unemployed,Single,1,1,Home Improvement,0,761
25,164537,108,0.2788066021323296,Secondary,Salaried,Divorced/Widowed,1,1,Debt Consolidation,0,758
38,105799,120,0.14948124186689773,Undergraduate,Salaried,Married,0,0,Business,1,705
56,44341,120,0.03816826637396983,Secondary,Contract-Part-time,Single,0,1,Home Improvement,0,540
36,300480,120,0.7429054433131833,Undergraduate,Contract-Part-time,Single,1,1,Home Improvement,0,755
40,101478,120,0.1849593533561087,Undergraduate,Contract-Part-time,Married,0,1,Business,1,550
28,47901,120,0.2849034914810797,Undergraduate,Salaried,Single,1,1,Business,0,574
28,76540,120,0.2888611570323996,Undergraduate,Contract-Part-time,Single,1,1,Debt Consolidation,1,587
41,132549,36,0.1431037586342449,Undergraduate,Unemployed,Married,1,0,Education,0,597
70,28312,120,0.38942612577245506,Primary,Salaried,Married,0,1,Other-Miscellaneous,0,449
53,100141,120,0.2939437528058532,Undergraduate,Salaried,Married,0,0,Debt Consolidation,0,584
57,70721,120,0.16019222974650046,Secondary,Self-Employed,Divorced/Widowed,1,1,Home Improvement,0,626
41,287454,120,0.12246377968695475,Undergraduate,Salaried,Single,1,1,Debt Consolidation,0,850
20,22028,120,0.22816520465878457,Undergraduate,Self-Employed,Married,0,0,Debt Consolidation,0,552
39,209191,120,0.20422383638858152,Undergraduate,Contract-Part-time,Married,0,1,Debt Consolidation,1,724
70,306715,120,0.16511381198718883,Primary,Self-Employed,Single,1,1,Education,0,827
19,22704,12,0.19595223164208792,Secondary,Self-Employed,Single,1,1,Other-Miscellaneous,1,590
41,24990,120,0.2306932343934381,Secondary,Unemployed,Married,1,0,Other-Miscellaneous,0,556
61,411975,120,0.2028926940381239,Secondary,Unemployed,Divorced/Widowed,1,1,Debt Consolidation,0,850
47,47882,120,0.3059832125905601,Undergraduate,Salaried,Single,1,1,Debt Consolidation,1,587
55,1173924,120,0.0586985342229176,Secondary,Salaried,Married,0,0,Home Improvement,1,850
19,23279,120,0.08920571675419442,Undergraduate,Salaried,Single,1,1,Other-Miscellaneous,0,584
38,113101,120,0.09333069264922511,Secondary,Unemployed,Divorced/Widowed,1,0,Debt Consolidation,0,653
50,96885,120,0.3204191735352139,Undergraduate,Salaried,Single,1,1,Home Improvement,0,580
29,83570,72,0.04790140768837133,Undergraduate,Salaried,Married,1,1,Other-Miscellaneous,0,607
39,142967,120,0.19064418307541262,Secondary,Self-Employed,Married,0,0,Debt Consolidation,1,689
61,149719,120,0.19393333349682326,Undergraduate,Salaried,Married,0,0,Other-Miscellaneous,0,686
42,86324,120,0.04044840207637718,Undergraduate,Self-Employed,Married,0,0,Other-Miscellaneous,1,646
66,43855,120,0.19721276108849503,Undergraduate,Self-Employed,Single,0,1,Debt Consolidation,0,512
44,228252,120,0.26874606481369256,Undergraduate,Salaried,Married,0,0,Debt Consolidation,0,776
59,163152,120,0.23023872768076348,Secondary,Self-Employed,Divorced/Widowed,1,1,Debt Consolidation,0,698
45,108192,120,0.2596707661701409,Primary,Salaried,Single,1,1,Home Improvement,1,641
33,159069,120,0.267517088211697,Primary,Salaried,Married,0,1,Other-Miscellaneous,0,753
32,182618,120,0.31569509233837884,Undergraduate,Salaried,Married,0,0,Debt Consolidation,1,731
64,53670,120,0.4905619333048155,Secondary,Self-Employed,Single,0,0,Debt Consolidation,1,496
68,154591,120,0.3693544805967003,Postgraduate,Salaried,Married,1,1,Debt Consolidation,0,678
61,63422,60,0.026955519576503637,Secondary,Salaried,Divorced/Widowed,1,1,Other-Miscellaneous,1,594
72,187517,120,0.13230591083626642,Secondary,Self-Employed,Divorced/Widowed,1,0,Debt Consolidation,1,648
69,84633,84,0.01939186566023775,Secondary,Self-Employed,Single,1,1,Education,0,589
74,161034,120,0.37453766256949356,Secondary,Unemployed,Married,0,1,Home Improvement,0,634
20,69770,120,0.01636911731340959,Undergraduate,Salaried,Married,1,0,Business,0,567
54,167872,120,0.16709762715204737,Undergraduate,Salaried,Married,0,0,Home Improvement,1,680
68,45115,12,0.37648270699929076,Undergraduate,Self-Employed,Divorced/Widowed,0,1,Debt Consolidation,1,500
24,101613,120,0.4249638851589777,Secondary,Salaried,Married,1,1,Debt Consolidation,1,598
38,216318,120,0.15380711753249607,Undergraduate,Self-Employed,Single,0,1,Debt Consolidation,1,762
26,143453,120,0.06216736637540881,Undergraduate,Self-Employed,Married,1,1,Debt Consolidation,0,671
56,115107,120,0.1299435752818384,Undergraduate,Self-Employed,Divorced/Widowed,0,0,Business,1,629
35,417837,120,0.3642390364048316,Undergraduate,Salaried,Married,0,0,Debt Consolidation,1,850
21,223889,120,0.15646315864962942,Secondary,Contract-Part-time,Married,1,1,Debt Consolidation,0,776
42,195718,120,0.4260379188720031,Undergraduate,Salaried,Divorced/Widowed,0,1,Business,1,639
31,167112,120,0.2782949894005705,Undergraduate,Salaried,Married,1,1,Home Improvement,0,694
67,184638,120,0.15050138571319427,Undergraduate,Salaried,Married,0,0,Debt Consolidation,1,692
26,371640,120,0.14593364330976433,Undergraduate,Contract-Part-time,Married,1,0,Home Improvement,0,850
43,70676,36,0.27185061627461304,Undergraduate,Salaried,Married,0,1,Debt Consolidation,0,522
70,221355,120,0.5616630285946888,Undergraduate,Salaried,Single,1,0,Other-Miscellaneous,1,585
19,131293,120,0.08474600510784665,Undergraduate,Salaried,Married,1,1,Debt Consolidation,0,738
37,72657,120,0.04108886904417196,Undergraduate,Salaried,Single,0,1,Home Improvement,0,648
45,91146,120,0.2759409003298987,Secondary,Contract-Part-time,Married,0,1,Home Improvement,0,621
